customer_id,customer_name,email,registration_date,customer_type
1,Allison Hill,donaldgarcia@example.net,2025-04-20,VIP
2,Javier Johnson,jesseguzman@example.net,2023-12-01,REGULAR
3,Kimberly Robinson,lisa02@example.net,2024-05-12,REGULAR
4,Daniel Gallagher,daviscolin@example.com,2024-09-21,VIP
5,Monica Herrera,smiller@example.net,2024-10-02,PREMIUM
6,Laura Bush,stanleykendra@example.org,2025-03-24,REGULAR
7,Jamie Chavez,francisco53@example.net,2024-01-19,REGULAR
8,Maria Lynch,amandasanchez@example.com,2024-04-11,REGULAR
9,Margaret Hawkins Dds,perezantonio@example.com,2024-04-26,VIP
10,Thomas Bradley,jason76@example.net,2024-06-07,REGULAR
11,David Hoffman,julie69@example.com,2024-03-29,VIP
12,Brenda Snyder Phd,hernandezernest@example.net,2024-05-12,VIP
13,James Ferrell,tasha01@example.net,2025-04-14,VIP
14,Patricia Peterson,ryan70@example.net,2025-04-08,REGULAR
15,Jonathan White,harrellkenneth@example.net,2024-07-13,VIP
16,James Martin,georgetracy@example.org,2025-05-17,PREMIUM
17,Sandra Parker,allenashley@example.org,2023-09-09,REGULAR
18,Mr. Philip Cannon,donnaarroyo@example.org,2024-01-18,REGULAR
19,Jenny Lewis,jenniferross@example.net,2024-10-25,REGULAR
20,Joseph Martinez,calebsmith@example.net,2023-12-23,REGULAR
21,Benjamin Welch,carlosjohnson@example.com,2023-08-29,REGULAR
22,Michael Lewis,jenniferkhan@example.net,2024-06-18,VIP
23,Rhonda Lee,hopkinsmichael@example.com,2024-06-13,VIP
24,Megan Joyce,brownjessica@example.org,2024-01-06,REGULAR
25,Jerry Henderson,steven17@example.net,2023-09-18,VIP
26,Kimberly Smith,housemelinda@example.org,2024-04-30,REGULAR
27,Dr. Steven Martin,gallowayjoseph@example.com,2024-02-02,VIP
28,Monica Logan,smoore@example.org,2025-06-15,VIP
29,Kimberly Adkins,williamsthomas@example.net,2023-10-31,VIP
30,Angela Lopez,leonardjoe@example.org,2025-05-26,VIP
31,Lauren Williams,barnesbrandy@example.net,2024-02-24,PREMIUM
32,Michael Edwards,randy47@example.com,2025-05-17,REGULAR
33,Alexandra Howell,jonesjason@example.com,2023-10-13,PREMIUM
34,Benjamin Sanchez,eric84@example.net,2025-06-26,VIP
35,Kendra Contreras,sarah12@example.com,2023-10-01,PREMIUM
36,Juan Nelson,jenniferharris@example.net,2025-03-22,REGULAR
37,Danielle Odonnell,davisrodney@example.com,2023-08-10,REGULAR
38,Carlos Whitney,joycearnold@example.com,2024-08-21,VIP
39,Tony Vazquez,amydavenport@example.net,2024-08-15,PREMIUM
40,Andrew Diaz,nolanjason@example.org,2024-11-06,PREMIUM
41,Justin Baxter,sarayoung@example.org,2025-06-20,PREMIUM
42,Sierra Johnson,kimberly63@example.com,2023-11-02,REGULAR
43,Janet Williams,dwalker@example.com,2024-02-16,REGULAR
44,Crystal Johnson,raymondramirez@example.org,2025-06-13,PREMIUM
45,Martin Ross,sheila14@example.org,2024-09-04,REGULAR
46,Mrs. Linda Reed,samuel81@example.com,2025-04-25,REGULAR
47,Andrew Graham,michaeljones@example.net,2025-05-11,PREMIUM
48,Mary Martinez,william65@example.com,2024-11-28,REGULAR
49,Cheryl Ortega,lbyrd@example.net,2024-08-27,PREMIUM
50,Roy Torres,russellcarpenter@example.net,2024-02-29,PREMIUM
51,Michael Dixon,donnacampbell@example.net,2024-10-13,VIP
52,Robert Potter,jeffrey32@example.org,2023-08-11,PREMIUM
53,Miss Patricia Gibson,jennifercruz@example.com,2024-01-03,REGULAR
54,Abigail Potter,osbornejeffery@example.net,2024-07-21,VIP
55,David Charles,danderson@example.net,2024-07-30,PREMIUM
56,Emily Fischer,usalazar@example.net,2024-05-15,VIP
57,Jill Moore,wcole@example.org,2025-03-13,REGULAR
58,Richard Washington,joshuajones@example.com,2023-12-27,PREMIUM
59,Steven Miller,jessebenson@example.net,2023-12-12,REGULAR
60,Gary Owens,clarkrobert@example.net,2025-05-29,VIP
61,Spencer Johnston,wsmith@example.com,2025-01-09,PREMIUM
62,Tiffany Barnes,tracynelson@example.com,2023-07-30,VIP
63,Michael Powell,marycalhoun@example.net,2024-08-01,VIP
64,Leslie Alvarado,dayderek@example.com,2023-11-18,PREMIUM
65,Garrett Gibson,kathleen64@example.com,2024-01-09,VIP
66,Alec Ryan,jeffrey10@example.org,2025-06-01,REGULAR
67,Alex Hernandez,thomaswilson@example.org,2024-06-12,VIP
68,Jacob Obrien,stricklandfrank@example.com,2023-09-25,REGULAR
69,Eric Byrd,tsanders@example.org,2023-09-02,REGULAR
70,Lori Garcia,melissa91@example.net,2025-01-30,VIP
71,Jeffrey Wood,alexander67@example.org,2024-05-20,REGULAR
72,Steven Stevens,ryangross@example.net,2024-01-22,PREMIUM
73,Kimberly Webb,lpetersen@example.com,2024-02-29,REGULAR
